Year,State,District ID,District Name,Grade range of responsibility,Total Population,Relevant Ages 5 to 17 Population,Relevant Ages 5 to 17 in Families in Poverty,Relevant age 5 to 17 Ratio,Relevant Ages 5 to 17 Ratio LB 90%,Relevant Ages 5 to 17 Ratio UB 90%,Map
2019,1,101530,Florence City School District (AL),PK-12,"39,610","5,057","1,251",24.7,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101530&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101560,Fort Payne City School District (AL),PK-12,"14,146","2,506",829,33.1,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101560&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101590,Franklin County School District (AL),PK-12,"21,646","3,859",864,22.4,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101590&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101620,Gadsden City School District (AL),PK-12,"36,172","5,246","1,893",36.1,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101620&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101640,Geneva City School District (AL),KG-12,"6,156",984,310,31.5,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101640&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101660,Geneva County School District (AL),KG-12,"20,115","3,353",671,20,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101660&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101680,Greene County School District (AL),KG-12,"8,111","1,302",572,43.9,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101680&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101690,Guntersville City School District (AL),KG-12,"8,569","1,343",270,20.1,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101690&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101710,Hale County School District (AL),PK-12,"14,651","2,382",729,30.6,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101710&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101720,Haleyville City School District (AL),PK-12,"8,347","1,267",278,21.9,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101720&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101730,Hartselle City School District (AL),PK-12,"13,864","2,494",259,10.4,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101730&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101740,Henry County School District (AL),PK-12,"17,198","2,612",718,27.5,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101740&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101760,Homewood City School District (AL),PK-12,"25,157","3,771",275,7.3,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101760&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101770,Houston County School District (AL),PK-12,"38,360","6,639","1,496",22.5,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101770&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101800,Huntsville City School District (AL),PK-12,"200,926","27,663","5,467",19.8,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101800&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101830,Jackson County School District (AL),PK-12,"37,303","5,816","1,118",19.2,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101830&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101860,Jacksonville City School District (AL),KG-12,"12,650","1,564",361,23.1,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101860&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101890,Jasper City School District (AL),PK-12,"13,596","2,070",468,22.6,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101890&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101920,Jefferson County School District (AL),PK-12,"231,296","38,498","6,883",17.9,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101920&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101950,Lamar County School District (AL),KG-12,"13,805","2,168",423,19.5,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101950&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101980,Lanett City School District (AL),KG-12,"6,310",927,413,44.6,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101980&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,102010,Lauderdale County School District (AL),PK-12,"53,119","8,257","1,222",14.8,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0102010&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,102040,Lawrence County School District (AL),KG-12,"32,924","5,259","1,100",20.9,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0102040&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,102070,Lee County School District (AL),PK-12,"66,200","11,756","1,712",14.6,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0102070&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,102100,Limestone County School District (AL),KG-12,"66,559","11,122","1,644",14.8,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0102100&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,102130,Linden City School District (AL),PK-12,"4,231",595,299,50.3,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0102130&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,102160,Lowndes County School District (AL),KG-12,"9,726","1,553",551,35.5,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0102160&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,102190,Macon County School District (AL),PK-12,"18,068","2,221",836,37.6,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0102190&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,102220,Madison County School District (AL),PK-12,"129,696","22,826","2,435",10.7,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0102220&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,102250,Marengo County School District (AL),KG-12,"7,928","1,358",382,28.1,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0102250&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,102310,Marion County School District (AL),PK-12,"24,011","3,709",810,21.8,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0102310&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
